,time,open,high,low,close,volume,market_cap
184,2019-10-02,175.65,181.29,173.65,180.24,348268.12,348268.11620000
185,2019-10-03,180.24,180.72,169.55,174.69,354756.78,354756.78478000
186,2019-10-04,174.71,178.98,170.74,175.55,333897.62,333897.63876000
187,2019-10-05,175.55,176.71,172.02,176.25,278488.62,278488.61771000
188,2019-10-06,176.23,177.04,167.68,170.1,314932.4,314932.39629000
189,2019-10-07,170.08,182.32,168.68,179.85,496523.47,496523.48038000
190,2019-10-08,179.88,184.87,177.0,180.6,400832.38,400832.37828000
191,2019-10-09,180.61,195.53,178.96,192.62,562506.8,562506.82189000
192,2019-10-10,192.61,194.2,186.88,191.14,436588.6,436588.58452000
193,2019-10-11,191.18,196.65,179.41,180.72,621693.6,621693.63125000
194,2019-10-12,180.65,184.64,177.59,179.68,290415.22,290415.22038000
195,2019-10-13,179.65,184.95,178.52,180.99,247589.23,247589.23231000
196,2019-10-14,180.98,187.54,180.43,186.72,279732.84,279732.84612000
197,2019-10-15,186.7,188.37,175.96,180.49,405466.38,405466.38109000
198,2019-10-16,180.52,181.44,171.81,174.47,347764.94,347764.93459000
199,2019-10-17,174.52,178.96,172.61,177.16,298795.8,298795.81980000
200,2019-10-18,177.17,177.44,168.66,172.74,319602.5,319602.48508000
201,2019-10-19,172.78,174.98,169.44,171.79,296918.72,296918.73026000
202,2019-10-20,171.84,176.88,169.21,175.22,299141.06,299141.07152000
203,2019-10-21,175.18,177.9,171.59,173.98,270608.5,270608.51385000
204,2019-10-22,174.0,175.04,170.3,171.2,255429.42,255429.41624000
205,2019-10-23,171.19,171.49,153.45,162.35,746955.1,746955.09806000
206,2019-10-24,162.35,163.72,158.72,160.38,387310.84,387310.83766000
207,2019-10-25,160.39,187.78,160.25,181.5,904832.9,904832.86059000
208,2019-10-26,181.53,197.74,173.8,179.49,1211737.4,1211737.43684000
209,2019-10-27,179.42,188.7,176.22,183.75,724423.4,724423.40525000
210,2019-10-28,183.84,189.48,180.35,181.72,582179.44,582179.44545000
211,2019-10-29,181.67,192.74,181.26,190.46,529964.5,529964.50540000
212,2019-10-30,190.45,191.71,179.28,183.13,537770.44,537770.43056000
213,2019-10-31,183.14,185.27,177.66,182.18,410969.88,410969.86104000
214,2019-11-01,182.19,184.5,177.02,182.85,331519.78,331519.76963000
215,2019-11-02,182.86,186.0,181.53,182.91,179864.39,179864.39739000
216,2019-11-03,182.9,184.7,178.95,181.54,232621.52,232621.52147000
217,2019-11-04,181.53,188.64,180.36,185.71,321175.28,321175.29134000
218,2019-11-05,185.71,192.51,182.22,188.68,389668.66,389668.64720000
219,2019-11-06,188.65,195.09,187.72,191.16,343219.94,343219.92240000
220,2019-11-07,191.16,192.27,184.59,186.68,309882.1,309882.08206000
221,2019-11-08,186.67,188.26,181.41,183.74,365029.75,365029.75027000
222,2019-11-09,183.71,185.79,182.63,184.89,192073.38,192073.38044000
223,2019-11-10,184.86,191.58,183.3,188.96,274940.53,274940.53448000
224,2019-11-11,188.96,190.19,184.06,184.98,255579.94,255579.93429000
225,2019-11-12,184.98,187.65,182.41,187.09,256782.62,256782.63119000
226,2019-11-13,187.09,189.66,185.3,188.11,197273.84,197273.84001000
227,2019-11-14,188.07,188.72,183.34,184.92,245505.3,245505.29971000
228,2019-11-15,184.93,186.7,177.67,180.0,407466.78,407466.78964000
229,2019-11-16,179.99,183.46,179.3,182.37,172801.53,172801.52576000
230,2019-11-17,182.37,186.09,180.0,183.82,198892.44,198892.43720000
231,2019-11-18,183.82,184.06,175.01,178.2,293551.25,293551.23632000
232,2019-11-19,178.2,178.52,172.65,175.94,275886.66,275886.64110000
233,2019-11-20,175.93,177.41,173.5,174.72,216315.94,216315.93309000
234,2019-11-21,174.75,175.85,157.26,161.01,473895.94,473895.92992000
235,2019-11-22,161.02,162.79,138.0,149.56,977977.25,977977.23794000
236,2019-11-23,149.55,154.33,146.11,151.84,369721.1,369721.09960000
237,2019-11-24,151.84,152.86,138.62,139.96,352319.22,352319.21558000
238,2019-11-25,139.99,151.5,131.45,145.69,749675.44,749675.41303000
239,2019-11-26,145.81,149.97,143.37,147.47,354023.03,354023.04298000
240,2019-11-27,147.47,155.54,140.84,152.62,564796.44,564796.42840000
