,0,1,2,3,4,5
1179,2020-03-05 13:15:00,145.604,146.2,145.2358,145.4,1004790
1178,2020-03-05 13:30:00,145.40212,146.776,145.0508,146.58392,1489120
1177,2020-03-05 13:45:00,146.535,147.17,145.63,145.865,1121965
1176,2020-03-05 14:00:00,145.952,146.8,145.6,146.14196,1076790
1175,2020-03-05 14:15:00,146.1165,146.72936,145.522,146.382,820385
1174,2020-03-05 14:30:00,146.25,146.374,145.2,145.6507,1244625
1173,2020-03-05 14:45:00,145.576,146.2,145.50054,145.598,1062800
1172,2020-03-05 15:00:00,145.62974,146.052,145.216,145.535,1193320
1171,2020-03-05 15:15:00,145.452,145.598,144.51,144.676,1697990
1170,2020-03-05 15:30:00,144.658,145.38584,143.94,144.084,2205175
1169,2020-03-05 15:45:00,144.06656,145.389,143.942,144.689,2001670
1168,2020-03-05 16:00:00,144.69,145.698,144.2,144.724,2973620
1167,2020-03-05 16:15:00,144.71,145.18,144.4,144.4,230795
1166,2020-03-05 16:30:00,144.4,144.798,144.4,144.65,21785
1165,2020-03-05 16:45:00,144.6,145.2,144.6,145.0,53850
1164,2020-03-05 17:00:00,144.9,144.94,144.3,144.402,69660
1163,2020-03-05 17:15:00,144.56,144.908,144.3,144.4,50940
1162,2020-03-05 17:30:00,144.4,144.5,144.22,144.5,12475
1161,2020-03-05 17:45:00,144.5,144.696,144.4,144.4,12145
1160,2020-03-05 18:00:00,144.578,144.6,144.54,144.6,8895
1159,2020-03-05 18:15:00,144.586,144.598,144.422,144.576,9490
1158,2020-03-05 18:30:00,144.708,144.708,144.302,144.302,28415
1157,2020-03-05 18:45:00,144.252,144.4,144.02,144.1,43860
1156,2020-03-05 19:00:00,144.2,144.394,144.0,144.0,22015
1155,2020-03-05 19:15:00,144.346,144.86,144.33,144.86,27485
1154,2020-03-05 19:30:00,144.9,145.3,144.8,144.8,46560
1153,2020-03-05 19:45:00,144.624,144.624,144.2,144.2,21085
1152,2020-03-05 20:00:00,144.1,144.174,144.0,144.0,43955
1151,2020-03-06 04:15:00,141.6,142.4,141.6,142.0,14190
1150,2020-03-06 04:30:00,141.582,141.582,140.8,140.8,19450
1149,2020-03-06 04:45:00,141.136,141.2,140.4,140.4,26185
1148,2020-03-06 05:00:00,140.276,140.284,138.4,138.492,54595
1147,2020-03-06 05:15:00,138.404,138.664,138.4,138.4,18660
1146,2020-03-06 05:30:00,138.002,138.002,136.6,136.6,39565
1145,2020-03-06 05:45:00,136.468,138.3,136.468,137.602,56925
1144,2020-03-06 06:00:00,138.2,139.05,138.2,138.624,19370
1143,2020-03-06 06:15:00,138.59,139.0,137.9,137.9,23560
1142,2020-03-06 06:30:00,138.2,138.37,138.042,138.042,6780
1141,2020-03-06 06:45:00,137.804,138.4,137.642,138.4,10335
1140,2020-03-06 07:00:00,138.6,138.8,138.6,138.8,4525
1139,2020-03-06 07:15:00,139.0,139.976,137.742,138.0,320980
1138,2020-03-06 07:30:00,137.89,138.596,137.056,137.056,141355
1137,2020-03-06 07:45:00,137.36,138.0,137.0,137.24,160675
1136,2020-03-06 08:00:00,137.212,137.212,135.398,136.0,325270
1135,2020-03-06 08:15:00,139.79998,140.0,135.4,136.0,345000
1134,2020-03-06 08:30:00,136.378,137.72,136.024,137.41,167100
1133,2020-03-06 08:45:00,137.584,139.158,137.406,137.7,328075
1132,2020-03-06 09:00:00,137.6,138.4,137.4,138.2,204295
1131,2020-03-06 09:15:00,138.204,138.4,137.6,137.6,212065
1130,2020-03-06 09:30:00,137.444,138.6,136.71,138.358,359575
1129,2020-03-06 09:45:00,138.0007,140.936,138.0,140.022,7142605
1128,2020-03-06 10:00:00,139.87,140.13,136.854,137.9964,4954755
1127,2020-03-06 10:15:00,138.0201,139.174,137.2,138.848,3727255
1126,2020-03-06 10:30:00,138.78802,141.08962,138.512,140.888,4149895
1125,2020-03-06 10:45:00,140.888,141.2,139.612,141.021,3343060
1124,2020-03-06 11:00:00,141.012,141.14798,140.06,140.45384,1949045
1123,2020-03-06 11:15:00,140.466,140.50488,138.516,138.729,2053140
1122,2020-03-06 11:30:00,138.7287,139.15508,138.146,138.694,1694435
1121,2020-03-06 11:45:00,138.798,139.288,138.432,138.61,1395705
1120,2020-03-06 12:00:00,138.526,139.0,137.888,138.35282,1561340
1119,2020-03-06 12:15:00,138.378,138.516,137.126,137.75046,1632990
1118,2020-03-06 12:30:00,137.712,138.16398,137.272,137.57876,1113780
1117,2020-03-06 12:45:00,137.7336,138.11,137.5,137.93084,1365790
1116,2020-03-06 13:00:00,137.9258,138.598,137.802,138.098,1175990
